symbol,side,opened_at_ms,opened_at_utc,closed_at_ms,closed_at_utc,entry_price,stop_loss,take_profit,exit_price,quantity,pnl,pnl_pct,close_reason
SOLUSDC,SELL,1742108399999,2025-03-16T06:59:59.999000+00:00,1742130000000,2025-03-16T13:00:00+00:00,135.02,135.95644737749674,129.16720389064542,129.16720389064542,59.250481410161456,345.25034327219413,4.315629290902426,take_profit
SOLUSDC,SELL,1742936399999,2025-03-25T20:59:59.999000+00:00,1743134400000,2025-03-28T04:00:00+00:00,144.51,146.0329634435714,134.9914784776788,134.9914784776788,74.38379867260088,706.0155527856369,6.568073646547397,take_profit
SOLUSDC,BUY,1744826399999,2025-04-16T17:59:59.999000+00:00,1745028000000,2025-04-19T02:00:00+00:00,125.07,123.21377949939685,136.67137812876962,136.67137812876962,130.9676856485869,1515.8257370415058,9.25405281293985,take_profit
SOLUSDC,BUY,1746442799999,2025-05-05T10:59:59.999000+00:00,1746457200000,2025-05-05T15:00:00+00:00,144.15,143.13585123476383,150.48842978272603,143.13585123476383,197.57562355109468,-206.02710567715442,-0.7233964172619665,stop_loss
SOLUSDC,BUY,1747385999999,2025-05-16T08:59:59.999000+00:00,1747432800000,2025-05-16T22:00:00+00:00,170.07,168.254361877921,181.41773826299357,168.254361877921,157.5042067834259,-291.27079618488534,-1.0873693152552264,stop_loss
SOLUSDC,SELL,1747835999999,2025-05-21T13:59:59.999000+00:00,1747836000000,2025-05-21T14:00:00+00:00,169.49,170.9957980750646,160.07876203084618,170.9957980750646,144.04221661137473,-221.82461525863943,-0.9086065459198871,stop_loss
SOLUSDC,SELL,1749610799999,2025-06-11T02:59:59.999000+00:00,1749610800000,2025-06-11T03:00:00+00:00,164.29,166.06149035799527,153.21818526252952,166.06149035799527,137.56197228634275,-248.25845675896065,-1.0984860040579922,stop_loss
SOLUSDC,BUY,1750298399999,2025-06-19T01:59:59.999000+00:00,1750338000000,2025-06-19T13:00:00+00:00,145.68,144.22697002338623,154.76143735383607,144.22697002338623,141.25362906760355,-209.32027392575674,-1.0172126377117343,stop_loss
SOLUSDC,BUY,1750395599999,2025-06-20T04:59:59.999000+00:00,1750431600000,2025-06-20T15:00:00+00:00,144.47,143.51487065118664,150.43955843008357,143.51487065118664,130.61771970146276,-128.50593459148553,-0.6809942015252962,stop_loss
SOLUSDC,SELL,1750805999999,2025-06-24T22:59:59.999000+00:00,1750816800000,2025-06-25T02:00:00+00:00,144.99,146.39323532949598,136.21977919065023,146.39323532949598,122.85055480649703,-175.985136788687,-0.9880088120297054,stop_loss
SOLUSDC,SELL,1750906799999,2025-06-26T02:59:59.999000+00:00,1750906800000,2025-06-26T03:00:00+00:00,146.23,147.4507503185052,138.60031050934245,147.4507503185052,111.98605952252122,-140.00950353062134,-0.8549821982964491,stop_loss
SOLUSDC,SELL,1751299199999,2025-06-30T15:59:59.999000+00:00,1751374800000,2025-07-01T13:00:00+00:00,157.8,159.45036902663162,147.48519358355253,147.48519358355253,96.51105387426452,992.6460474676526,6.517940036584773,take_profit
SOLUSDC,SELL,1752767999999,2025-07-17T15:59:59.999000+00:00,1752786000000,2025-07-17T21:00:00+00:00,174.2,176.17805646544795,161.8371470909502,176.17805646544795,132.87167376703783,-267.50948801849927,-1.1557359797595024,stop_loss
