symbol,side,opened_at_ms,opened_at_utc,closed_at_ms,closed_at_utc,entry_price,stop_loss,take_profit,exit_price,quantity,pnl,pnl_pct,close_reason
SOLUSDC,BUY,1771595999999,2026-02-20T13:59:59.999000+00:00,1771686000000,2026-02-21T15:00:00+00:00,82.12,81.620522148584,86.66070774014545,86.66070774014545,97.4184120798831,440.6600680562514,5.508250850703143,take_profit
SOLUSDC,BUY,1771937999999,2026-02-24T12:59:59.999000+00:00,1771938000000,2026-02-24T13:00:00+00:00,76.55,76.09111661161458,80.72166716714017,76.09111661161458,150.39164656368402,-71.3009220232233,-0.6193358742099796,stop_loss
SOLUSDC,BUY,1772888399999,2026-03-07T12:59:59.999000+00:00,1772892000000,2026-03-07T14:00:00+00:00,84.25,83.92139450875423,87.2373226476888,83.92139450875423,129.65760474057097,-44.78241029922356,-0.40995818415135676,stop_loss
SOLUSDC,BUY,1773010799999,2026-03-08T22:59:59.999000+00:00,1773082800000,2026-03-09T19:00:00+00:00,81.94,81.42080282778886,86.65997429282847,86.65997429282847,128.72731354503645,605.3585095809224,5.7391289943494055,take_profit
SOLUSDC,BUY,1773961199999,2026-03-19T22:59:59.999000+00:00,1774026000000,2026-03-20T17:00:00+00:00,88.73,88.22347695454404,93.33475495869052,88.22347695454404,173.26617246492344,-90.82053818612354,-0.590744664540598,stop_loss
SOLUSDC,SELL,1774396799999,2026-03-24T23:59:59.999000+00:00,1774396800000,2026-03-25T00:00:00+00:00,90.72,91.25908464592185,85.81923049161956,91.25908464592185,161.18545993552877,-89.83453410348416,-0.6143479528781205,stop_loss
SOLUSDC,BUY,1774655999999,2026-03-27T23:59:59.999000+00:00,1774659600000,2026-03-28T01:00:00+00:00,83.01,82.58867669296252,86.840211882159,82.58867669296252,167.21686857779463,-73.21440804096477,-0.5274557792748766,stop_loss
SOLUSDC,SELL,1774922399999,2026-03-31T01:59:59.999000+00:00,1775023200000,2026-04-01T06:00:00+00:00,83.76,84.29502495778542,78.89613674740542,84.29502495778542,158.46165139324242,-87.45244411908494,-0.6588872525990535,stop_loss
SOLUSDC,SELL,1775509199999,2026-04-06T20:59:59.999000+00:00,1775563200000,2026-04-07T12:00:00+00:00,81.95,82.29679241004712,78.79734172684445,78.79734172684445,153.16524674889797,480.46387946507485,3.827820384149095,take_profit
SOLUSDC,BUY,1776059999999,2026-04-13T05:59:59.999000+00:00,1776117600000,2026-04-13T22:00:00+00:00,81.83,81.52093840830078,84.6396508336293,84.6396508336293,200.11633850224945,558.8694818923025,3.4128350280613216,take_profit
SOLUSDC,SELL,1776265199999,2026-04-15T14:59:59.999000+00:00,1776268800000,2026-04-15T16:00:00+00:00,84.29,84.65093842113394,81.00874162605508,84.65093842113394,247.00765218661846,-93.33643789919851,-0.44829589372187006,stop_loss
SOLUSDC,SELL,1776466799999,2026-04-17T22:59:59.999000+00:00,1776582000000,2026-04-19T07:00:00+00:00,89.2,89.68081654149879,84.82894053182929,84.82894053182929,224.66671591493258,978.2199278860202,4.881270941776174,take_profit
SOLUSDC,BUY,1776664799999,2026-04-20T05:59:59.999000+00:00,1776823200000,2026-04-22T02:00:00+00:00,83.86,83.47440969213082,87.36536643517437,87.36536643517437,331.9099218817645,1157.666413275949,4.159185978878287,take_profit
SOLUSDC,BUY,1777003199999,2026-04-24T03:59:59.999000+00:00,1777003200000,2026-04-24T04:00:00+00:00,85.69,85.38055076704396,88.50317484505491,85.38055076704396,432.3814098440186,-141.1834882034658,-0.3810541989840702,stop_loss
SOLUSDC,BUY,1777399199999,2026-04-28T17:59:59.999000+00:00,1777474800000,2026-04-29T15:00:00+00:00,83.58,83.31176192697687,86.01852793657392,83.31176192697687,429.07410723966234,-122.24339568436187,-0.34087153075918003,stop_loss
SOLUSDC,BUY,1778752799999,2026-05-14T09:59:59.999000+00:00,1778821200000,2026-05-15T05:00:00+00:00,90.79,90.40356027182948,94.30308843791387,90.40356027182948,383.59607330546464,-155.17245244206777,-0.44555616282067995,stop_loss
SOLUSDC,BUY,1779026399999,2026-05-17T13:59:59.999000+00:00,1779026400000,2026-05-17T14:00:00+00:00,86.33,86.10004083258588,88.42053788558293,86.10004083258588,388.38856916337255,-96.00156633074671,-0.28631898016985957,stop_loss
