symbol,side,opened_at_ms,opened_at_utc,closed_at_ms,closed_at_utc,entry_price,stop_loss,take_profit,exit_price,quantity,pnl,pnl_pct,close_reason
ETHUSDC,SELL,1777813199999,2026-05-03T12:59:59.999000+00:00,1777842000000,2026-05-03T21:00:00+00:00,2324.44,2344.8274787778582,2316.285008488857,2316.285008488857,6.324103870179484,48.6433279795768,0.33090699305834564,take_profit
ETHUSDC,SELL,1777985999999,2026-05-05T12:59:59.999000+00:00,1777989600000,2026-05-05T14:00:00+00:00,2387.3,2419.376773194806,2374.469290722078,2374.469290722078,6.439005957064373,79.5591690923378,0.5175644208845938,take_profit
ETHUSDC,BUY,1779004799999,2026-05-17T07:59:59.999000+00:00,1779012000000,2026-05-17T10:00:00+00:00,2184.71,2163.1292598686277,2193.342296052549,2193.342296052549,7.550734651522866,61.86790779069491,0.37504417489453973,take_profit
