symbol,side,opened_at_ms,opened_at_utc,closed_at_ms,closed_at_utc,entry_price,stop_loss,take_profit,exit_price,quantity,pnl,pnl_pct,close_reason
SOLUSDC,BUY,1767970799999,2026-01-09T14:59:59.999000+00:00,1767970800000,2026-01-09T15:00:00+00:00,136.71,135.2279493857032,139.67410122859363,139.67410122859363,58.51803086826128,171.81867651805433,2.147733456475679,take_profit
SOLUSDC,SELL,1769533199999,2026-01-27T16:59:59.999000+00:00,1769533200000,2026-01-27T17:00:00+00:00,126.15,127.17717052866884,124.09565894266233,124.09565894266233,74.21125178077236,150.61336261152573,1.6088164292898512,take_profit
SOLUSDC,BUY,1772125199999,2026-02-26T16:59:59.999000+00:00,1772161200000,2026-02-27T03:00:00+00:00,84.53,83.11761589541217,87.35476820917567,87.35476820917567,124.82760574916844,350.4281950345005,3.3210661960651104,take_profit
