symbol,side,opened_at_ms,opened_at_utc,closed_at_ms,closed_at_utc,entry_price,stop_loss,take_profit,exit_price,quantity,pnl,pnl_pct,close_reason
BNBUSDC,SELL,1777021199999,2026-04-24T08:59:59.999000+00:00,1777132800000,2026-04-25T16:00:00+00:00,637.72,642.0778203898562,629.0043592202875,629.0043592202875,15.68086307470363,134.69610342891056,1.3469610342891056,take_profit
BNBUSDC,SELL,1777849199999,2026-05-03T22:59:59.999000+00:00,1777852800000,2026-05-04T00:00:00+00:00,621.16,623.6347900374396,616.2104199251207,616.2104199251207,18.235174567404705,88.00911578525326,0.7769878921524587,take_profit
BNBUSDC,BUY,1779065999999,2026-05-18T00:59:59.999000+00:00,1779076800000,2026-05-18T04:00:00+00:00,646.58,641.2029764936989,657.3340470126024,641.2029764936989,18.844378530225278,-103.74328063940905,-0.8514436112468521,stop_loss
