symbol,side,opened_at_ms,opened_at_utc,closed_at_ms,closed_at_utc,entry_price,stop_loss,take_profit,exit_price,quantity,pnl,pnl_pct,close_reason
SOLUSDC,SELL,1752263999999,2025-07-11T19:59:59.999000+00:00,1752264000000,2025-07-11T20:00:00+00:00,164.6,170.31874688235212,162.69375103921595,162.69375103921595,33.81204485000764,63.35397367591965,1.138341561710934,take_profit
SOLUSDC,SELL,1752764399999,2025-07-17T14:59:59.999000+00:00,1752768000000,2025-07-17T16:00:00+00:00,174.92,182.0677888289022,172.53740372369924,172.53740372369924,33.50735632185388,78.67824794804778,1.3423786848593677,take_profit
SOLUSDC,BUY,1753826399999,2025-07-29T21:59:59.999000+00:00,1753902000000,2025-07-30T19:00:00+00:00,181.21,174.76202306793093,183.35932564402304,174.76202306793093,34.37591961890888,-222.85665777286965,-3.5775781340338106,stop_loss
SOLUSDC,SELL,1754693999999,2025-08-08T22:59:59.999000+00:00,1754733600000,2025-08-09T10:00:00+00:00,177.57,183.0663041941531,175.73789860194896,183.0663041941531,29.085844863135165,-160.92957873642828,-3.1159077856574546,stop_loss
SOLUSDC,SELL,1754845199999,2025-08-10T16:59:59.999000+00:00,1754910000000,2025-08-11T11:00:00+00:00,182.25,188.36514528861562,180.21161823712814,180.21161823712814,24.1177033665303,48.29182863431964,1.0986773329077852,take_profit
SOLUSDC,BUY,1755547199999,2025-08-18T19:59:59.999000+00:00,1755565200000,2025-08-19T01:00:00+00:00,183.19,176.88893944144914,185.29035351951694,185.29035351951694,25.22333067141516,52.04318337823726,1.1263144542895573,take_profit
SOLUSDC,BUY,1755593999999,2025-08-19T08:59:59.999000+00:00,1755601200000,2025-08-19T11:00:00+00:00,180.46,174.2277101630182,182.53742994566062,182.53742994566062,26.95044573808466,55.00377000501449,1.1309555910847167,take_profit
SOLUSDC,SELL,1756029599999,2025-08-24T09:59:59.999000+00:00,1756029600000,2025-08-24T10:00:00+00:00,208.17,214.59290367287076,206.02903210904307,206.02903210904307,24.595883373457156,51.64550334323276,1.0086766030336294,take_profit
SOLUSDC,SELL,1756094399999,2025-08-25T03:59:59.999000+00:00,1756098000000,2025-08-25T05:00:00+00:00,209.23,220.4649951438607,205.48500161871308,205.48500161871308,25.620499278034572,94.89580265687796,1.7702534918334671,take_profit
SOLUSDC,SELL,1756389599999,2025-08-28T13:59:59.999000+00:00,1756396800000,2025-08-28T16:00:00+00:00,212.69,221.70881953446656,209.6837268218445,209.6837268218445,27.299071786885126,80.92363307924433,1.3937356870521138,take_profit
SOLUSDC,SELL,1756414799999,2025-08-28T20:59:59.999000+00:00,1756450800000,2025-08-29T07:00:00+00:00,213.16,223.76202683318834,209.6259910556039,209.6259910556039,29.016283110712948,101.3272906256226,1.6382453303551254,take_profit
SOLUSDC,BUY,1756580399999,2025-08-30T18:59:59.999000+00:00,1756598400000,2025-08-31T00:00:00+00:00,200.97,193.82249220929583,203.3525025969014,203.3525025969014,33.14195990938346,77.61290545279996,1.165264515291839,take_profit
SOLUSDC,BUY,1756817999999,2025-09-02T12:59:59.999000+00:00,1756818000000,2025-09-02T13:00:00+00:00,197.9,191.26864367916647,200.1104521069445,200.1104521069445,35.486980652808256,77.02200800463,1.0967306804058172,take_profit
SOLUSDC,SELL,1756929599999,2025-09-03T19:59:59.999000+00:00,1756951200000,2025-09-04T02:00:00+00:00,210.35,216.89815401677058,208.1672819944098,208.1672819944098,35.09415868512058,75.1395609275801,1.0178676250018166,take_profit
SOLUSDC,SELL,1757422799999,2025-09-09T12:59:59.999000+00:00,1757426400000,2025-09-09T14:00:00+00:00,217.64,223.41439009358675,215.71520330213772,215.71520330213772,35.52635655373863,66.84829873639869,0.8645716123882723,take_profit
SOLUSDC,SELL,1757581199999,2025-09-11T08:59:59.999000+00:00,1757595600000,2025-09-11T13:00:00+00:00,223.5,228.92864800224763,221.69045066591747,228.92864800224763,35.98273065290931,-196.98507445029048,-2.4494110657038375,stop_loss
SOLUSDC,BUY,1758589199999,2025-09-23T00:59:59.999000+00:00,1758596400000,2025-09-23T03:00:00+00:00,219.77,212.4804152716191,222.19986157612698,212.4804152716191,32.30113829913306,-236.83455631058894,-3.3362519049166055,stop_loss
SOLUSDC,BUY,1758614399999,2025-09-23T07:59:59.999000+00:00,1758643200000,2025-09-23T16:00:00+00:00,219.03,210.73418517269144,221.79527160910285,221.79527160910285,27.2433600028278,74.1268002661136,1.2422556520937922,take_profit
SOLUSDC,BUY,1758707999999,2025-09-24T09:59:59.999000+00:00,1758722400000,2025-09-24T14:00:00+00:00,210.96,202.7725427423328,213.6891524192224,213.6891524192224,29.92769570155037,80.39819833997312,1.2734236768764493,take_profit
SOLUSDC,SELL,1759525199999,2025-10-03T20:59:59.999000+00:00,1759539600000,2025-10-04T01:00:00+00:00,233.09,241.9457516785874,230.1380827738042,230.1380827738042,28.698958590943406,83.39600557694098,1.2466813718482315,take_profit
SOLUSDC,BUY,1760277599999,2025-10-12T13:59:59.999000+00:00,1760277600000,2025-10-12T14:00:00+00:00,179.18,169.61285294148527,182.36904901950493,182.36904901950493,39.50896481866505,124.55498304827319,1.759445925717725,take_profit
SOLUSDC,BUY,1760626799999,2025-10-16T14:59:59.999000+00:00,1760641200000,2025-10-16T19:00:00+00:00,194.02,184.06247242452878,197.33917585849042,184.06247242452878,39.50173812074684,-394.79380413309406,-5.151190634963477,stop_loss
SOLUSDC,SELL,1760961599999,2025-10-20T11:59:59.999000+00:00,1760976000000,2025-10-20T16:00:00+00:00,192.18,198.4234054968858,190.0988648343714,190.0988648343714,30.084169735073523,61.465430261177026,1.063125919794846,take_profit
SOLUSDC,SELL,1761299999999,2025-10-24T09:59:59.999000+00:00,1761314400000,2025-10-24T14:00:00+00:00,192.08,198.02046204183958,190.09984598605348,190.09984598605348,31.591233009549764,61.35440914345515,1.0111068537845278,take_profit
SOLUSDC,SELL,1761335999999,2025-10-24T19:59:59.999000+00:00,1761483600000,2025-10-26T13:00:00+00:00,193.03,199.15734140261824,190.98755286579393,199.15734140261824,32.91567548086349,-202.99666085288902,-3.1949297367760274,stop_loss
