symbol,side,opened_at_ms,opened_at_utc,closed_at_ms,closed_at_utc,entry_price,stop_loss,take_profit,exit_price,quantity,pnl,pnl_pct,close_reason
SOLUSDC,SELL,1763539199999,2025-11-19T07:59:59.999000+00:00,1763550000000,2025-11-19T11:00:00+00:00,140.46,146.89956102578563,138.31347965807146,138.31347965807146,33.81745692723907,71.65437717845255,1.5085132037568958,take_profit
SOLUSDC,SELL,1763999999999,2025-11-24T15:59:59.999000+00:00,1764007200000,2025-11-24T18:00:00+00:00,131.84,137.29471092457294,130.02176302514235,137.29471092457294,38.57589344355013,-211.47960061949226,-4.158199231460748,stop_loss
SOLUSDC,SELL,1764140399999,2025-11-26T06:59:59.999000+00:00,1764147600000,2025-11-26T09:00:00+00:00,139.48,144.51404099736158,137.80198633421278,137.80198633421278,29.22631298503759,48.2366637929544,1.183290269945772,take_profit
SOLUSDC,BUY,1764460799999,2025-11-29T23:59:59.999000+00:00,1764475200000,2025-11-30T04:00:00+00:00,135.89,132.91285932826904,136.8823802239103,136.8823802239103,31.656027863280457,30.548185530601437,0.7101359539815549,take_profit
SOLUSDC,BUY,1764626399999,2025-12-01T21:59:59.999000+00:00,1764637200000,2025-12-02T01:00:00+00:00,126.03,121.4073691224661,127.57087695917797,127.57087695917797,35.25156595149182,53.41891111307296,1.20238259445063,take_profit
SOLUSDC,SELL,1764759599999,2025-12-03T10:59:59.999000+00:00,1764770400000,2025-12-03T14:00:00+00:00,141.29,145.6592160376258,139.8335946541247,139.8335946541247,33.21023474796226,47.43878212388232,1.010997683448551,take_profit
SOLUSDC,SELL,1764835199999,2025-12-04T07:59:59.999000+00:00,1764856800000,2025-12-04T14:00:00+00:00,143.41,148.54738943776997,141.69753685407667,141.69753685407667,34.25947020614925,57.6971836184613,1.1743418440502806,take_profit
SOLUSDC,SELL,1767167999999,2025-12-31T07:59:59.999000+00:00,1767193200000,2025-12-31T15:00:00+00:00,125.77,128.15663918643708,124.97445360452096,124.97445360452096,41.20652581188205,31.751750470200516,0.6126671740145756,take_profit
SOLUSDC,SELL,1767574799999,2026-01-05T00:59:59.999000+00:00,1767618000000,2026-01-05T13:00:00+00:00,135.42,138.26372514316094,134.47209161894634,134.47209161894634,39.34752731191897,36.23962205317194,0.680116646529214,take_profit
SOLUSDC,SELL,1768287599999,2026-01-13T06:59:59.999000+00:00,1768320000000,2026-01-13T16:00:00+00:00,140.39,144.3481593185379,139.07061356048735,144.3481593185379,39.14465655168803,-156.07087892510904,-2.8399664865030494,stop_loss
