symbol,side,opened_at_ms,opened_at_utc,closed_at_ms,closed_at_utc,entry_price,stop_loss,take_profit,exit_price,quantity,pnl,pnl_pct,close_reason
SOLUSDC,BUY,1740614399999,2025-02-26T23:59:59.999000+00:00,1740618000000,2025-02-27T01:00:00+00:00,135.08,126.0301580932373,138.0966139689209,138.0966139689209,51.82114302635475,154.89311906196153,2.2127588437423076,take_profit
SOLUSDC,BUY,1741582799999,2025-03-10T04:59:59.999000+00:00,1741597200000,2025-03-10T09:00:00+00:00,128.27,121.98363688663272,130.36545437112244,130.36545437112244,62.94887217146434,130.26521768436544,1.6133010682530633,take_profit
SOLUSDC,SELL,1742104799999,2025-03-16T05:59:59.999000+00:00,1742108400000,2025-03-16T07:00:00+00:00,135.03,138.57446873587776,133.84851042137407,133.84851042137407,66.4667416474671,76.75046770928921,0.8551580215816142,take_profit
SOLUSDC,SELL,1742932799999,2025-03-25T19:59:59.999000+00:00,1742940000000,2025-03-25T22:00:00+00:00,144.97,150.69692413108461,143.06102528963845,143.06102528963845,65.52867760811193,123.2176683964226,1.2970700871239706,take_profit
SOLUSDC,BUY,1743267599999,2025-03-29T16:59:59.999000+00:00,1743357600000,2025-03-30T18:00:00+00:00,125.19,121.13461529979564,126.54179490006811,126.54179490006811,82.66568018430353,109.65491217437192,1.0595786732870842,take_profit
SOLUSDC,SELL,1744595999999,2025-04-14T01:59:59.999000+00:00,1744642800000,2025-04-14T15:00:00+00:00,130.52,137.26707294544738,128.2709756848509,128.2709756848509,85.05985599440989,189.11954223050682,1.7034708244040333,take_profit
SOLUSDC,BUY,1744826399999,2025-04-16T17:59:59.999000+00:00,1744826400000,2025-04-16T18:00:00+00:00,125.07,118.38250173068955,127.29916608977014,127.29916608977014,99.22688400605885,218.66690510233053,1.7619782973952125,take_profit
SOLUSDC,SELL,1744934399999,2025-04-17T23:59:59.999000+00:00,1744988400000,2025-04-18T15:00:00+00:00,134.75,140.41482067813317,132.86172644062228,132.86172644062228,103.32913016265975,192.36796707464578,1.3815964483039689,take_profit
SOLUSDC,BUY,1745801999999,2025-04-28T00:59:59.999000+00:00,1745809200000,2025-04-28T03:00:00+00:00,147.04,143.33944870475656,148.27351709841446,148.27351709841446,103.71792041985675,124.86210408052715,0.8187312261934058,take_profit
SOLUSDC,BUY,1746316799999,2025-05-03T23:59:59.999000+00:00,1746324000000,2025-05-04T02:00:00+00:00,146.68,144.08947540199298,147.5435081993357,147.5435081993357,109.78570214666945,91.56122044450483,0.568584331671541,take_profit
SOLUSDC,BUY,1747385999999,2025-05-16T08:59:59.999000+00:00,1747386000000,2025-05-16T09:00:00+00:00,170.07,163.126429261505,172.38452357949834,172.38452357949834,98.32275310447338,224.1804662713096,1.340651893210115,take_profit
SOLUSDC,SELL,1747835999999,2025-05-21T13:59:59.999000+00:00,1747846800000,2025-05-21T17:00:00+00:00,169.49,175.24850735314587,167.57049754895138,167.57049754895138,107.77983027617138,203.2715044316923,1.112743142096194,take_profit
SOLUSDC,BUY,1748210399999,2025-05-25T21:59:59.999000+00:00,1748210400000,2025-05-25T22:00:00+00:00,171.49,166.8938683167149,173.02204389442838,173.02204389442838,114.67099725770144,171.7128791524858,0.8731934723012909,take_profit
SOLUSDC,SELL,1748980799999,2025-06-03T19:59:59.999000+00:00,1748980800000,2025-06-03T20:00:00+00:00,160.59,165.54561008453902,158.93812997182033,158.93812997182033,129.76766033216893,210.2343028769074,1.0088314354476047,take_profit
SOLUSDC,SELL,1749581999999,2025-06-10T18:59:59.999000+00:00,1749675600000,2025-06-11T21:00:00+00:00,163.96,170.93747342094338,161.6341755263522,161.6341755263522,135.8981065435443,311.6819864400198,1.3988153443172289,take_profit
SOLUSDC,BUY,1749913199999,2025-06-14T14:59:59.999000+00:00,1749963600000,2025-06-15T05:00:00+00:00,145.3,141.80437733366284,146.46520755544574,146.46520755544574,168.15163701989835,191.00588503277243,0.7817718609323078,take_profit
SOLUSDC,BUY,1750298399999,2025-06-19T01:59:59.999000+00:00,1750377600000,2025-06-20T00:00:00+00:00,145.68,140.27407248662922,147.4819758377903,147.4819758377903,176.6561549163787,313.1194030020562,1.2166937415037906,take_profit
SOLUSDC,SELL,1750766399999,2025-06-24T11:59:59.999000+00:00,1750892400000,2025-06-25T23:00:00+00:00,144.57,150.36783270686385,142.63738909771203,142.63738909771203,192.92436254496047,367.34408089799524,1.3170667665964029,take_profit
SOLUSDC,SELL,1750906799999,2025-06-26T02:59:59.999000+00:00,1750914000000,2025-06-26T05:00:00+00:00,146.23,150.81524671616515,144.70158442794494,144.70158442794494,208.05194662025937,311.96874574691714,1.0254224544686208,take_profit
SOLUSDC,SELL,1751299199999,2025-06-30T15:59:59.999000+00:00,1751306400000,2025-06-30T18:00:00+00:00,157.8,163.53483401750916,155.8883886608303,155.8883886608303,206.36644210325068,388.05840432205747,1.1916563126980722,take_profit
SOLUSDC,SELL,1751972399999,2025-07-08T10:59:59.999000+00:00,1751986800000,2025-07-08T15:00:00+00:00,151.03,154.16184922996933,149.9860502566769,149.9860502566769,233.3009529216574,236.5560922296338,0.6713583614326795,take_profit
SOLUSDC,SELL,1752058799999,2025-07-09T10:59:59.999000+00:00,1752087600000,2025-07-09T19:00:00+00:00,153.08,156.24975227016827,152.02341590994394,156.24975227016827,240.67158312828383,-770.3902720343194,-2.0910649468397526,stop_loss
SOLUSDC,SELL,1752166799999,2025-07-10T16:59:59.999000+00:00,1752181200000,2025-07-10T21:00:00+00:00,158.38,162.49328816737275,157.00890394420907,162.49328816737275,198.24280359081996,-821.8724032791197,-2.6176201698486126,stop_loss
SOLUSDC,SELL,1752263999999,2025-07-11T19:59:59.999000+00:00,1752264000000,2025-07-11T20:00:00+00:00,164.6,170.40208887476246,162.66597037507918,162.66597037507918,155.5323914728702,295.7442872665736,1.1552226189828647,take_profit
SOLUSDC,SELL,1752602399999,2025-07-15T17:59:59.999000+00:00,1752602400000,2025-07-15T18:00:00+00:00,162.76,168.79998297056278,160.74667234314572,160.74667234314572,169.78987935002112,336.38402832873567,1.2172390774057775,take_profit
SOLUSDC,SELL,1752764399999,2025-07-17T14:59:59.999000+00:00,1752768000000,2025-07-17T16:00:00+00:00,174.92,182.2140239804979,172.48865867316735,172.48865867316735,171.22684633113636,410.4039699376143,1.3702513120843836,take_profit
SOLUSDC,BUY,1753826399999,2025-07-29T21:59:59.999000+00:00,1753902000000,2025-07-30T19:00:00+00:00,181.21,174.75657985139998,183.36114004953336,174.75657985139998,180.90555901915639,-1173.7824669220345,-3.580581350129855,stop_loss
SOLUSDC,SELL,1754693999999,2025-08-08T22:59:59.999000+00:00,1754733600000,2025-08-09T10:00:00+00:00,177.57,183.0874884192134,175.73083719359553,183.0874884192134,138.08371023549748,-766.9315520461018,-3.1278402415369992,stop_loss
SOLUSDC,SELL,1754845199999,2025-08-10T16:59:59.999000+00:00,1754910000000,2025-08-11T11:00:00+00:00,182.25,188.36889154800437,180.21036948399853,180.21036948399853,104.89259933057586,210.16159968105748,1.0993626568475536,take_profit
SOLUSDC,BUY,1755547199999,2025-08-18T19:59:59.999000+00:00,1755565200000,2025-08-19T01:00:00+00:00,183.19,176.83503360597564,185.30832213134144,185.30832213134144,112.23889993474347,233.59838528422983,1.1361212221819834,take_profit
SOLUSDC,BUY,1755593999999,2025-08-19T08:59:59.999000+00:00,1755601200000,2025-08-19T11:00:00+00:00,180.46,174.23889584316024,182.53370138561326,182.53370138561326,122.83856430413722,250.24606544116563,1.1288898622055443,take_profit
SOLUSDC,SELL,1756029599999,2025-08-24T09:59:59.999000+00:00,1756029600000,2025-08-24T10:00:00+00:00,208.17,214.5156181482849,206.05479395057168,206.05479395057168,114.75301602619355,237.9971918742515,0.9962987417198419,take_profit
SOLUSDC,SELL,1756094399999,2025-08-25T03:59:59.999000+00:00,1756098000000,2025-08-25T05:00:00+00:00,209.23,220.95312417576108,205.32229194141297,205.32229194141297,121.97424986764722,471.63095263977965,1.8480349855177252,take_profit
SOLUSDC,SELL,1756389599999,2025-08-28T13:59:59.999000+00:00,1756396800000,2025-08-28T16:00:00+00:00,212.69,221.7169165566247,209.68102781445842,209.68102781445842,135.34421001018643,401.57114078201494,1.3950049273490472,take_profit
SOLUSDC,SELL,1756414799999,2025-08-28T20:59:59.999000+00:00,1756450800000,2025-08-29T07:00:00+00:00,213.16,223.94367302067695,209.565442326441,209.565442326441,148.04399093874443,525.9476827641922,1.666656307512529,take_profit
